Found 1 shards at wikitext-103/wiki.valid.tokens.sent
Loading data from: wikitext-103/wiki.valid.tokens.sent
Loaded 11357 sentences.
Finished loading
Found 1 shards at wikitext-103/wiki.valid.tokens.sent
Loading data from: wikitext-103/wiki.valid.tokens.sent
Loaded 11357 sentences.
Finished loading
USING SKIP CONNECTIONS
batch=111, batch_perplexity=418.41577, avg_perplexity=598.5760547996002, time=3.8427534103393555
batch=112, batch_perplexity=593.06525, avg_perplexity=598.5266254593216, time=3.877352237701416
batch=113, batch_perplexity=632.05206, avg_perplexity=598.815368911981, time=3.9120161533355713
batch=114, batch_perplexity=439.96017, avg_perplexity=597.198290756202, time=3.9469172954559326
batch=115, batch_perplexity=517.2538, avg_perplexity=596.4524383102912, time=3.981489658355713
batch=116, batch_perplexity=569.4713, avg_perplexity=596.2144649666591, time=4.015798330307007
batch=117, batch_perplexity=459.9079, avg_perplexity=594.8931801062066, time=4.050474405288696
batch=118, batch_perplexity=565.0456, avg_perplexity=594.6337250023763, time=4.0815019607543945
batch=119, batch_perplexity=577.9402, avg_perplexity=594.4914533685189, time=4.115932941436768
batch=120, batch_perplexity=673.8594, avg_perplexity=595.1126007529268, time=4.149824380874634
batch=121, batch_perplexity=528.3985, avg_perplexity=594.5281042590757, time=4.181694746017456
batch=122, batch_perplexity=596.16144, avg_perplexity=594.5414740987802, time=4.216250658035278
batch=123, batch_perplexity=485.28125, avg_perplexity=593.5607497661606, time=4.2497618198394775
batch=124, batch_perplexity=701.69867, avg_perplexity=594.3624273741093, time=4.284262180328369
batch=125, batch_perplexity=628.46765, avg_perplexity=594.6277873052655, time=4.318717956542969
batch=126, batch_perplexity=629.5285, avg_perplexity=594.8970137816965, time=4.3536927700042725
batch=127, batch_perplexity=729.7631, avg_perplexity=595.8549206596927, time=4.388224124908447
batch=128, batch_perplexity=548.3524, avg_perplexity=595.4683033791084, time=4.4230570793151855
batch=129, batch_perplexity=603.8541, avg_perplexity=595.5328600266045, time=4.4575324058532715
batch=130, batch_perplexity=959.40967, avg_perplexity=597.7213852566706, time=4.491313934326172
batch=131, batch_perplexity=731.39484, avg_perplexity=598.6429911411664, time=4.526037216186523
batch=132, batch_perplexity=876.7645, avg_perplexity=600.375994883264, time=4.560464859008789
batch=133, batch_perplexity=380.82697, avg_perplexity=598.324637174834, time=4.595247268676758
batch=134, batch_perplexity=790.0647, avg_perplexity=599.5671426963013, time=4.627833127975464
batch=135, batch_perplexity=632.46326, avg_perplexity=599.8044147602754, time=4.662184238433838
batch=136, batch_perplexity=634.8055, avg_perplexity=600.054598458828, time=4.696444511413574
batch=137, batch_perplexity=753.7771, avg_perplexity=601.0543949953578, time=4.730248689651489
batch=138, batch_perplexity=831.54047, avg_perplexity=602.4698195558767, time=4.764664173126221
batch=139, batch_perplexity=983.04364, avg_perplexity=604.5957117578802, time=4.798246145248413
batch=140, batch_perplexity=537.9556, avg_perplexity=604.0915855984044, time=4.833264589309692
batch=141, batch_perplexity=532.8979, avg_perplexity=603.5545857690951, time=4.867929220199585
batch=142, batch_perplexity=606.54193, avg_perplexity=603.575572349353, time=4.902306318283081
batch=143, batch_perplexity=572.78674, avg_perplexity=603.3546205787081, time=4.937039375305176
batch=144, batch_perplexity=582.9529, avg_perplexity=603.2105083042732, time=4.971587419509888
batch=145, batch_perplexity=864.4579, avg_perplexity=604.7093126361793, time=5.006013631820679
batch=146, batch_perplexity=812.60785, avg_perplexity=605.9344706694293, time=5.04085111618042
batch=147, batch_perplexity=782.0612, avg_perplexity=606.9871588958998, time=5.075013637542725
batch=148, batch_perplexity=472.1822, avg_perplexity=605.9580292802924, time=5.109151124954224
batch=149, batch_perplexity=719.5114, avg_perplexity=606.6569574830733, time=5.1436851024627686
batch=150, batch_perplexity=546.1664, avg_perplexity=606.2322853240416, time=5.17871880531311
batch=151, batch_perplexity=521.588, avg_perplexity=605.6288213890074, time=5.211603164672852
batch=152, batch_perplexity=922.7798, avg_perplexity=607.3090719699684, time=5.245948791503906
batch=153, batch_perplexity=709.0498, avg_perplexity=607.9241860674714, time=5.280951261520386
batch=154, batch_perplexity=872.5459, avg_perplexity=609.3523711526984, time=5.315767049789429
batch=155, batch_perplexity=1003.4588, avg_perplexity=611.3165101351259, time=5.349369287490845
batch=156, batch_perplexity=677.9545, avg_perplexity=611.7220937004577, time=5.384302377700806
batch=157, batch_perplexity=618.5581, avg_perplexity=611.7653949025562, time=5.419082164764404
batch=158, batch_perplexity=435.66318, avg_perplexity=610.4523646268897, time=5.453170299530029
batch=159, batch_perplexity=360.91373, avg_perplexity=608.4378962144654, time=5.487826108932495
batch=160, batch_perplexity=403.5392, avg_perplexity=606.8784140344827, time=5.520872354507446
batch=161, batch_perplexity=423.9449, avg_perplexity=605.5277301305802, time=5.555397987365723
batch=162, batch_perplexity=334.74652, avg_perplexity=603.316268933355, time=5.59009051322937
batch=163, batch_perplexity=527.3237, avg_perplexity=602.8181764464249, time=5.6249518394470215
batch=164, batch_perplexity=611.4525, avg_perplexity=602.8704535918226, time=5.6594226360321045
batch=165, batch_perplexity=587.29425, avg_perplexity=602.7748189382437, time=5.6938958168029785
batch=166, batch_perplexity=752.3419, avg_perplexity=603.5801959152489, time=5.728738307952881
batch=167, batch_perplexity=773.42993, avg_perplexity=604.4770376228295, time=5.7635369300842285
batch=168, batch_perplexity=524.29517, avg_perplexity=603.9652164545657, time=5.797990798950195
batch=169, batch_perplexity=404.28497, avg_perplexity=602.5324241153763, time=5.832616329193115
batch=170, batch_perplexity=587.8067, avg_perplexity=602.4447322810252, time=5.867215394973755
batch=171, batch_perplexity=631.39056, avg_perplexity=602.6100879413827, time=5.901890277862549
batch=172, batch_perplexity=724.78876, avg_perplexity=603.2572246781494, time=5.936202764511108
batch=173, batch_perplexity=619.9473, avg_perplexity=603.3523965013824, time=5.970571517944336
batch=174, batch_perplexity=921.3215, avg_perplexity=604.8220204233031, time=6.0050718784332275
batch=175, batch_perplexity=857.08624, avg_perplexity=606.0280418218357, time=6.039822578430176
batch=176, batch_perplexity=567.1984, avg_perplexity=605.8000768184401, time=6.074369668960571
batch=177, batch_perplexity=1018.6163, avg_perplexity=607.5812451610951, time=6.107824325561523
batch=178, batch_perplexity=681.51337, avg_perplexity=607.9733295514228, time=6.142531871795654
batch=179, batch_perplexity=837.05426, avg_perplexity=609.0603575782737, time=6.177096366882324
batch=180, batch_perplexity=374.22495, avg_perplexity=607.4145348492027, time=6.211790323257446
batch=181, batch_perplexity=616.1833, avg_perplexity=607.4626363500527, time=6.246559143066406
batch=182, batch_perplexity=380.92505, avg_perplexity=605.9069639211145, time=6.281188726425171
batch=183, batch_perplexity=471.7015, avg_perplexity=605.0785304343925, time=6.3162078857421875
batch=184, batch_perplexity=552.58417, avg_perplexity=604.7801669928086, time=6.34903359413147
batch=185, batch_perplexity=511.57953, avg_perplexity=604.2332943635724, time=6.38399600982666
batch=186, batch_perplexity=501.49673, avg_perplexity=603.6281838523776, time=6.418236017227173
batch=187, batch_perplexity=492.00488, avg_perplexity=602.9685248945493, time=6.452239751815796
batch=188, batch_perplexity=566.3598, avg_perplexity=602.7676690830855, time=6.486908912658691
batch=189, batch_perplexity=555.46265, avg_perplexity=602.5070666876502, time=6.521472692489624
batch=190, batch_perplexity=670.75397, avg_perplexity=602.8474300925769, time=6.556523323059082
batch=191, batch_perplexity=918.7021, avg_perplexity=604.1786265528011, time=6.590845584869385
batch=192, batch_perplexity=866.3293, avg_perplexity=605.3137700062427, time=6.625401973724365
