Found 1 shards at wikitext-2/wiki.test.tokens
Loading data from: wikitext-2/wiki.test.tokens
Loaded 4358 sentences.
Finished loading
Found 1 shards at wikitext-2/wiki.test.tokens
Loading data from: wikitext-2/wiki.test.tokens
Loaded 4358 sentences.
Finished loading
USING SKIP CONNECTIONS
batch=143, batch_perplexity=511.44778, avg_perplexity=901.2864013178892, time=4.916484117507935
batch=144, batch_perplexity=774.0866, avg_perplexity=900.3346746157608, time=4.947794675827026
batch=145, batch_perplexity=696.70953, avg_perplexity=898.7440539660889, time=4.982173681259155
batch=146, batch_perplexity=741.5048, avg_perplexity=897.5609743379065, time=5.016833305358887
batch=147, batch_perplexity=508.1229, avg_perplexity=894.0937144278633, time=5.051279783248901
batch=148, batch_perplexity=695.2195, avg_perplexity=892.5751488992219, time=5.085827827453613
batch=149, batch_perplexity=729.8372, avg_perplexity=891.3701532213473, time=5.11948037147522
batch=150, batch_perplexity=683.761, avg_perplexity=889.7958915017653, time=5.154202222824097
batch=151, batch_perplexity=518.7455, avg_perplexity=886.6219963574281, time=5.184549331665039
batch=152, batch_perplexity=762.3109, avg_perplexity=885.7412701460827, time=5.218448638916016
batch=153, batch_perplexity=748.041, avg_perplexity=884.7636331884884, time=5.252703905105591
batch=154, batch_perplexity=768.6606, avg_perplexity=883.9558164471496, time=5.287823677062988
batch=155, batch_perplexity=716.0261, avg_perplexity=882.7550776166189, time=5.322858572006226
batch=156, batch_perplexity=584.6298, avg_perplexity=880.42638556586, time=5.357118606567383
batch=157, batch_perplexity=841.4267, avg_perplexity=880.1723464195579, time=5.391386270523071
batch=158, batch_perplexity=730.10144, avg_perplexity=879.1316056854262, time=5.426263332366943
batch=159, batch_perplexity=691.7669, avg_perplexity=877.8073509596436, time=5.461240768432617
batch=160, batch_perplexity=659.0698, avg_perplexity=876.2363986427338, time=5.49539589881897
batch=161, batch_perplexity=882.3034, avg_perplexity=876.2739530554587, time=5.529783248901367
batch=162, batch_perplexity=713.895, avg_perplexity=875.1660979487982, time=5.564371347427368
batch=163, batch_perplexity=807.2898, avg_perplexity=874.7327509456102, time=5.5990259647369385
batch=164, batch_perplexity=578.8506, avg_perplexity=872.5333595541688, time=5.633185863494873
batch=165, batch_perplexity=534.96375, avg_perplexity=869.9502510353632, time=5.666997194290161
batch=166, batch_perplexity=574.7676, avg_perplexity=867.780860958359, time=5.701505184173584
batch=167, batch_perplexity=619.11456, avg_perplexity=866.0281112324548, time=5.736184358596802
batch=168, batch_perplexity=636.2319, avg_perplexity=864.4400245003244, time=5.770547389984131
batch=169, batch_perplexity=786.0368, avg_perplexity=863.9538329706115, time=5.805248498916626
batch=170, batch_perplexity=835.3127, avg_perplexity=863.7825165191942, time=5.840090990066528
batch=171, batch_perplexity=821.8394, avg_perplexity=863.5311164785662, time=5.874765157699585
batch=172, batch_perplexity=812.70825, avg_perplexity=863.2266363176358, time=5.909124851226807
batch=173, batch_perplexity=657.0184, avg_perplexity=861.8656815316463, time=5.943706512451172
